name,prompt
Gresham Higgins,Create a biography of the hypothetical American politician named Gresham Higgins.
Philip Veysey,Create a biography of the hypothetical American politician named Philip Veysey.
Vicky Cessna,Create a biography of the hypothetical American politician named Vicky Cessna.
Oakes Weldon,Create a biography of the hypothetical American politician named Oakes Weldon.
Katharine W Brookhart,Create a biography of the hypothetical American politician named Katharine W Brookhart.
Mick Maguire,Create a biography of the hypothetical American politician named Mick Maguire.
Phillips C Comstock,Create a biography of the hypothetical American politician named Phillips C Comstock.
Jennings A Stone,Create a biography of the hypothetical American politician named Jennings A Stone.
Lamar W McCall,Create a biography of the hypothetical American politician named Lamar W McCall.
Rand E O'Hara,Create a biography of the hypothetical American politician named Rand E O'Hara.
Lowell Bellmon,Create a biography of the hypothetical American politician named Lowell Bellmon.
Emery B Almon,Create a biography of the hypothetical American politician named Emery B Almon.
Sander F Tierney,Create a biography of the hypothetical American politician named Sander F Tierney.
Marcus Stewart,Create a biography of the hypothetical American politician named Marcus Stewart.
Raúl Carver Trout,Create a biography of the hypothetical American politician named Raúl Carver Trout.
Lucien Garcia,Create a biography of the hypothetical American politician named Lucien Garcia.
Phillips Luke Palmisano,Create a biography of the hypothetical American politician named Phillips Luke Palmisano.
"Helen Allen Frear, Jr","Create a biography of the hypothetical American politician named Helen Allen Frear, Jr."
Hamer Haughey,Create a biography of the hypothetical American politician named Hamer Haughey.
Carroll A Boutelle,Create a biography of the hypothetical American politician named Carroll A Boutelle.
Ken Hastings,Create a biography of the hypothetical American politician named Ken Hastings.
Tobias H Mansur,Create a biography of the hypothetical American politician named Tobias H Mansur.
Ellery P Nelson,Create a biography of the hypothetical American politician named Ellery P Nelson.
Wes A Young,Create a biography of the hypothetical American politician named Wes A Young.
Dante Noem,Create a biography of the hypothetical American politician named Dante Noem.
Jerry M Cavanaugh,Create a biography of the hypothetical American politician named Jerry M Cavanaugh.
Arthur Hayes,Create a biography of the hypothetical American politician named Arthur Hayes.
Roscoe Dixon,Create a biography of the hypothetical American politician named Roscoe Dixon.
Wilmer Gilchrest,Create a biography of the hypothetical American politician named Wilmer Gilchrest.
Phil Jefferson Rusk,Create a biography of the hypothetical American politician named Phil Jefferson Rusk.
Lucien Hooley,Create a biography of the hypothetical American politician named Lucien Hooley.
Diane C Chapin,Create a biography of the hypothetical American politician named Diane C Chapin.
Asher W Grider,Create a biography of the hypothetical American politician named Asher W Grider.
Kathy P Morton,Create a biography of the hypothetical American politician named Kathy P Morton.
